project_code,reporting_month,reporting_year,original_cost,revised_cost,expenditure,physical_progress,month_num,current_revised_cost,current_cost_escalation_amount,current_cost_escalation_percent,cumulative_expenditure,expenditure_ratio,project_age_days,planned_duration_days,schedule_slip_days,previous_expenditure,previous_revised_cost,previous_physical_progress,expenditure_delta,cost_revision_delta,physical_progress_delta,schedule_change_delta_days,time_delta_months,expenditure_velocity,cost_revision_velocity,physical_progress_velocity,schedule_slip_velocity,remaining_physical_progress,remaining_duration_days,cost_to_progress_ratio,expenditure_to_progress_ratio,previous_progress_velocity,progress_velocity_deceleration,time_target
612213,June,2026,194.93,196.7,114.39,67.0,6,196.7,1.7699999999999818,0.009080182629661836,114.39,0.5815455007625826,1400.0,1096.0,396.0,114.39,196.7,67.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,92.0,0.8679783593471382,1.7073134328358208,1.5,1.5,0.0
612259,April,2026,102.4,297.63,334.86,84.0,4,297.63,195.23,1.9065429687499997,334.86,1.1250881967543596,1582.0,1035.0,516.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,-31.0,1.3393907104218568,3.9864285714285717,0.0,0.0,1.0
612259,May,2026,102.4,297.63,340.3,89.0,5,297.63,195.23,1.9065429687499997,340.3,1.143365924133992,1612.0,1035.0,638.0,334.86,297.63,84.0,5.439999999999998,0.0,5.0,122.0,1.0,5.439999999999998,0.0,5.0,122.0,11.0,61.0,1.284680813633699,3.823595505617978,0.0,-5.0,0.0
612259,June,2026,102.4,297.63,340.3,89.0,6,297.63,195.23,1.9065429687499997,340.3,1.143365924133992,1643.0,1035.0,638.0,340.3,297.63,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,30.0,1.284680813633699,3.823595505617978,5.0,5.0,0.0
612745,April,2026,278.0,278.0,68.23,23.0,4,278.0,0.0,0.0,68.23,0.24543165467625902,547.0,822.0,120.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77.0,395.0,1.0670941507663436,2.966521739130435,0.0,0.0,0.0
612745,May,2026,278.0,278.0,80.52,27.0,5,278.0,0.0,0.0,80.52,0.2896402877697842,577.0,822.0,120.0,68.23,278.0,23.0,12.289999999999992,0.0,4.0,0.0,1.0,12.289999999999992,0.0,4.0,0.0,73.0,365.0,1.072741806554756,2.982222222222222,0.0,-4.0,0.0
612745,June,2026,278.0,278.0,80.52,34.0,6,278.0,0.0,0.0,80.52,0.2896402877697842,608.0,822.0,120.0,80.52,278.0,27.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,7.0,0.0,66.0,334.0,0.8518831993228946,2.368235294117647,4.0,-3.0,0.0
612781,April,2026,916.78,916.78,206.54,33.66,4,916.78,0.0,0.0,206.54,0.22528850978424486,943.0,1187.0,274.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.34,518.0,0.669306327344756,6.136066547831254,0.0,0.0,0.0
612781,May,2026,916.78,916.78,226.68,34.76,5,916.78,0.0,0.0,226.68,0.24725670280765288,973.0,1187.0,274.0,206.54,916.78,33.66,20.140000000000015,0.0,1.1000000000000014,0.0,1.0,20.140000000000015,0.0,1.1000000000000014,0.0,65.24000000000001,488.0,0.7113253820703478,6.521288837744534,0.0,-1.1000000000000014,0.0
612781,June,2026,916.78,916.78,234.05,35.36,6,916.78,0.0,0.0,234.05,0.2552957088941731,1004.0,1187.0,274.0,226.68,916.78,34.76,7.3700000000000045,0.0,0.6000000000000014,0.0,1.0,7.3700000000000045,0.0,0.6000000000000014,0.0,64.64,457.0,0.7219901269631592,6.619061085972851,1.1000000000000014,0.5,0.0
612790,April,2026,385.0,385.0,260.92,82.5,4,385.0,0.0,0.0,260.92,0.6777142857142857,913.0,762.0,304.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.5,153.0,0.8214718614718615,3.162666666666667,0.0,0.0,0.0
612790,May,2026,385.0,385.0,260.92,85.9,5,385.0,0.0,0.0,260.92,0.6777142857142857,943.0,762.0,304.0,260.92,385.0,82.5,0.0,0.0,3.4000000000000057,0.0,1.0,0.0,0.0,3.4000000000000057,0.0,14.099999999999994,123.0,0.7889572592715781,3.0374854481955764,0.0,-3.4000000000000057,0.0
612790,June,2026,385.0,385.0,268.2,88.7,6,385.0,0.0,0.0,268.2,0.6966233766233766,974.0,762.0,304.0,260.92,385.0,85.9,7.279999999999973,0.0,2.799999999999997,0.0,1.0,7.279999999999973,0.0,2.799999999999997,0.0,11.299999999999997,92.0,0.7853702103983953,3.0236753100338216,3.4000000000000057,0.6000000000000085,0.0
612819,April,2026,1813.0,1813.0,1753.07,100.0,4,1813.0,0.0,0.0,1753.07,0.9669442912300055,1127.0,550.0,456.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-121.0,0.9669442912300055,17.5307,0.0,0.0,0.0
612853,April,2026,521.9,521.9,302.5,47.6,4,521.9,0.0,0.0,302.5,0.5796129526729259,1005.0,1096.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,52.4,91.0,1.2176742703212728,6.355042016806722,0.0,0.0,0.0
612853,May,2026,521.9,521.9,310.3,81.6,5,521.9,0.0,0.0,310.3,0.5945583445104426,1035.0,1096.0,0.0,302.5,521.9,47.6,7.800000000000011,0.0,33.99999999999999,0.0,1.0,7.800000000000011,0.0,33.99999999999999,0.0,18.400000000000006,61.0,0.7286254221941699,3.802696078431373,0.0,-33.99999999999999,0.0
612876,April,2026,474.23,474.23,167.55,4.0,4,474.23,0.0,0.0,167.55,0.3533095755224258,4322.0,5662.0,-2832.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,96.0,-1492.0,8.832739388060645,41.8875,0.0,0.0,0.0
612876,May,2026,474.23,474.23,167.55,4.0,5,474.23,0.0,0.0,167.55,0.3533095755224258,4352.0,5662.0,-2832.0,167.55,474.23,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,96.0,-1522.0,8.832739388060645,41.8875,0.0,0.0,0.0
612876,June,2026,474.23,474.23,167.55,4.0,6,474.23,0.0,0.0,167.55,0.3533095755224258,4383.0,5662.0,-2832.0,167.55,474.23,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,96.0,-1553.0,8.832739388060645,41.8875,0.0,0.0,0.0
612877,April,2026,618.34,544.34,543.74,98.5,4,544.34,-74.0,-0.1196752595659346,543.74,0.9988977477311973,4657.0,4171.0,516.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,30.0,1.0141093885595913,5.520203045685279,0.0,0.0,0.0
612877,May,2026,618.34,544.34,543.74,99.0,5,544.34,-74.0,-0.1196752595659346,543.74,0.9988977477311973,4687.0,4171.0,516.0,543.74,544.34,98.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0089876239709064,5.4923232323232325,0.0,-0.5,0.0
612877,June,2026,618.34,544.34,543.74,99.5,6,544.34,-74.0,-0.1196752595659346,543.74,0.9988977477311973,4718.0,4171.0,516.0,543.74,544.34,99.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.5,-31.0,1.0039173344032133,5.464723618090452,0.5,0.0,0.0
612883,April,2026,685.76,610.76,283.56,34.5,4,610.76,-75.0,-0.10936770881941205,283.56,0.4642740192546991,761.0,1432.0,-427.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,65.5,244.0,1.3457217949411568,8.219130434782608,0.0,0.0,0.0
612883,May,2026,685.76,610.76,283.56,36.0,5,610.76,-75.0,-0.10936770881941205,283.56,0.4642740192546991,791.0,1432.0,-427.0,283.56,610.76,34.5,0.0,0.0,1.5,0.0,1.0,0.0,0.0,1.5,0.0,64.0,214.0,1.2896500534852753,7.876666666666667,0.0,-1.5,0.0
612883,June,2026,685.76,610.76,283.56,37.6,6,610.76,-75.0,-0.10936770881941205,283.56,0.4642740192546991,822.0,1432.0,-427.0,283.56,610.76,36.0,0.0,0.0,1.6000000000000014,0.0,1.0,0.0,0.0,1.6000000000000014,0.0,62.4,183.0,1.2347713278050507,7.541489361702127,1.5,-0.10000000000000142,0.0
613793,April,2026,483.65,483.65,77.79,16.79,4,483.65,0.0,0.0,77.79,0.1608394500155071,2191.0,2160.0,731.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,83.21000000000001,700.0,0.9579478857385771,4.633114949374629,0.0,0.0,0.0
613793,May,2026,483.65,483.65,78.88,16.79,5,483.65,0.0,0.0,78.88,0.16309314586994728,2221.0,2160.0,731.0,77.79,483.65,16.79,1.0899999999999892,0.0,0.0,0.0,1.0,1.0899999999999892,0.0,0.0,0.0,83.21000000000001,670.0,0.9713707318043316,4.69803454437165,0.0,0.0,0.0
613793,June,2026,483.65,483.65,96.8,16.79,6,483.65,0.0,0.0,96.8,0.20014473276129432,2252.0,2160.0,731.0,78.88,483.65,16.79,17.92,0.0,0.0,0.0,1.0,17.92,0.0,0.0,0.0,83.21000000000001,639.0,1.192047246940407,5.765336509827279,0.0,0.0,0.0
613800,April,2026,459.49,459.49,276.8,96.15,4,459.49,0.0,0.0,276.8,0.6024070164747872,3561.0,3165.0,730.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.8499999999999943,334.0,0.6265283582681094,2.8788351534061363,0.0,0.0,0.0
613800,May,2026,459.49,459.49,277.16,96.15,5,459.49,0.0,0.0,277.16,0.6031904938083528,3591.0,3165.0,730.0,276.8,459.49,96.15,0.36000000000001364,0.0,0.0,0.0,1.0,0.36000000000001364,0.0,0.0,0.0,3.8499999999999943,304.0,0.6273432072889784,2.882579303172127,0.0,0.0,0.0
613800,June,2026,459.49,459.49,278.71,96.15,6,459.49,0.0,0.0,278.71,0.6065637989945374,3622.0,3165.0,730.0,277.16,459.49,96.15,1.5499999999999545,0.0,0.0,0.0,1.0,1.5499999999999545,0.0,0.0,0.0,3.8499999999999943,273.0,0.6308515850177195,2.8986999479979194,0.0,0.0,0.0
613801,April,2026,410.26,410.26,187.63,54.6,4,410.26,0.0,0.0,187.63,0.45734412323892165,2892.0,2861.0,731.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.4,700.0,0.8376265993386843,3.4364468864468862,0.0,0.0,0.0
613801,May,2026,410.26,410.26,188.3,54.6,5,410.26,0.0,0.0,188.3,0.458977233949203,2922.0,2861.0,731.0,187.63,410.26,54.6,0.6700000000000159,0.0,0.0,0.0,1.0,0.6700000000000159,0.0,0.0,0.0,45.4,670.0,0.8406176445956098,3.448717948717949,0.0,0.0,0.0
613801,June,2026,410.26,410.26,188.6,54.6,6,410.26,0.0,0.0,188.6,0.45970847755082145,2953.0,2861.0,731.0,188.3,410.26,54.6,0.29999999999998295,0.0,0.0,0.0,1.0,0.29999999999998295,0.0,0.0,0.0,45.4,639.0,0.841956918591248,3.454212454212454,0.0,0.0,0.0
613802,April,2026,371.04,371.04,148.87,58.2,4,371.04,0.0,0.0,148.87,0.40122358775334194,4139.0,4108.0,731.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.8,700.0,0.6893876078236115,2.5579037800687283,0.0,0.0,0.0
613802,May,2026,371.04,371.04,149.84,58.2,5,371.04,0.0,0.0,149.84,0.4038378611470461,4169.0,4108.0,731.0,148.87,371.04,58.2,0.9699999999999989,0.0,0.0,0.0,1.0,0.9699999999999989,0.0,0.0,0.0,41.8,670.0,0.693879486506952,2.574570446735395,0.0,0.0,0.0
613802,June,2026,371.04,371.04,150.83,58.2,6,371.04,0.0,0.0,150.83,0.4065060370849504,4200.0,4108.0,731.0,149.84,371.04,58.2,0.9900000000000091,0.0,0.0,0.0,1.0,0.9900000000000091,0.0,0.0,0.0,41.8,639.0,0.6984639812456191,2.591580756013746,0.0,0.0,0.0
613808,April,2026,339.87,339.87,191.0,70.47,4,339.87,0.0,0.0,191.0,0.5619795804278106,5538.0,1155.0,4627.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.53,244.0,0.7974735070637301,2.7103732084575,0.0,0.0,0.0
613808,May,2026,339.87,339.87,191.14,70.47,5,339.87,0.0,0.0,191.14,0.5623915026333598,5568.0,1155.0,4627.0,191.0,339.87,70.47,0.13999999999998636,0.0,0.0,0.0,1.0,0.13999999999998636,0.0,0.0,0.0,29.53,214.0,0.798058042618646,2.712359869447992,0.0,0.0,0.0
613808,June,2026,339.87,339.87,191.14,70.47,6,339.87,0.0,0.0,191.14,0.5623915026333598,5599.0,1155.0,4627.0,191.14,339.87,70.47,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.53,183.0,0.798058042618646,2.712359869447992,0.0,0.0,0.0
615183,April,2026,491.67,491.67,276.75,55.57,4,491.67,0.0,0.0,276.75,0.5628775398132894,1765.0,1369.0,730.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44.43,334.0,1.0129162134484244,4.980205146661868,0.0,0.0,0.0
615183,May,2026,491.67,491.67,276.37,57.06,5,491.67,0.0,0.0,276.37,0.5621046636971953,1795.0,1369.0,730.0,276.75,491.67,55.57,-0.37999999999999545,0.0,1.490000000000002,0.0,1.0,-0.37999999999999545,0.0,1.490000000000002,0.0,42.94,304.0,0.985111573251306,4.843498072204697,0.0,-1.490000000000002,0.0
615183,June,2026,491.67,491.67,379.69,57.12,6,491.67,0.0,0.0,379.69,0.7722456118941566,1826.0,1369.0,730.0,276.37,491.67,57.06,103.32,0.0,0.05999999999999517,0.0,1.0,103.32,0.0,0.05999999999999517,0.0,42.88,273.0,1.3519706090583976,6.647233893557424,1.490000000000002,1.4300000000000068,0.0
615186,May,2026,319.04,319.04,111.68,32.21,5,319.04,0.0,0.0,111.68,0.35005015045135407,2099.0,2038.0,0.0,111.17,319.04,32.21,0.5100000000000051,0.0,0.0,0.0,1.0,0.5100000000000051,0.0,0.0,0.0,67.78999999999999,0.0,1.086774760792779,3.4672461968332815,0.0,0.0,0.0
615186,June,2026,319.04,319.04,153.78,32.21,6,319.04,0.0,0.0,153.78,0.4820085255767302,2130.0,2038.0,365.0,111.68,319.04,32.21,42.099999999999994,0.0,0.0,0.0,1.0,42.099999999999994,0.0,0.0,0.0,67.78999999999999,273.0,1.4964561489497987,4.774293697609438,0.0,0.0,0.0
615189,May,2026,361.87,361.87,96.8,12.2,5,361.87,0.0,0.0,96.8,0.267499378229751,1430.0,1369.0,0.0,96.64,361.87,12.2,0.1599999999999966,0.0,0.0,0.0,1.0,0.1599999999999966,0.0,0.0,0.0,87.8,0.0,2.1926178543422212,7.934426229508197,0.0,0.0,0.0
615189,June,2026,361.87,361.87,104.17,12.2,6,361.87,0.0,0.0,104.17,0.2878658081631525,1461.0,1369.0,365.0,96.8,361.87,12.2,7.3700000000000045,0.0,0.0,0.0,1.0,7.3700000000000045,0.0,0.0,0.0,87.8,273.0,2.359555804616004,8.538524590163934,0.0,0.0,0.0
615192,May,2026,309.58,309.58,58.08,8.44,5,309.58,0.0,0.0,58.08,0.18760901867045676,1856.0,1795.0,0.0,57.46,309.58,8.44,0.6199999999999974,0.0,0.0,0.0,1.0,0.6199999999999974,0.0,0.0,0.0,91.56,0.0,2.22285567145091,6.881516587677726,0.0,0.0,0.0
615192,June,2026,309.58,309.58,62.31,8.44,6,309.58,0.0,0.0,62.31,0.20127269203436915,1887.0,1795.0,365.0,58.08,309.58,8.44,4.230000000000004,0.0,0.0,0.0,1.0,4.230000000000004,0.0,0.0,0.0,91.56,273.0,2.384747535952241,7.382701421800949,0.0,0.0,0.0
615202,April,2026,1700.0,1756.2,258.41,20.3,4,1756.2,56.200000000000045,0.03305882352941179,258.41,0.14714155563147707,1370.0,2345.0,-275.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,79.7,700.0,0.7248352494161432,12.729556650246305,0.0,0.0,0.0
615202,May,2026,1700.0,1756.2,263.01,18.3,5,1756.2,56.200000000000045,0.03305882352941179,263.01,0.14976084728390843,1400.0,2345.0,-275.0,258.41,1756.2,20.3,4.599999999999966,0.0,-2.0,0.0,1.0,4.599999999999966,0.0,-2.0,0.0,81.7,670.0,0.8183652857044177,14.372131147540983,0.0,2.0,0.0
615202,June,2026,1700.0,1756.2,263.01,18.3,6,1756.2,56.200000000000045,0.03305882352941179,263.01,0.14976084728390843,1431.0,2345.0,-275.0,263.01,1756.2,18.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,81.7,639.0,0.8183652857044177,14.372131147540983,-2.0,-2.0,0.0
615206,May,2026,414.15,414.15,22.11,56.88,5,414.15,0.0,0.0,22.11,0.053386454183266936,2465.0,2404.0,0.0,22.11,414.15,56.88,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.12,0.0,0.09385804181305721,0.38871308016877637,0.0,0.0,0.0
615206,June,2026,414.15,414.15,22.16,56.88,6,414.15,0.0,0.0,22.16,0.05350718338766148,2496.0,2404.0,365.0,22.11,414.15,56.88,0.05000000000000071,0.0,0.0,0.0,1.0,0.05000000000000071,0.0,0.0,0.0,43.12,273.0,0.09407029428210528,0.38959212376933894,0.0,0.0,0.0
615327,April,2026,218.03,218.03,169.95,100.0,4,218.03,0.0,0.0,169.95,0.7794798880887951,790.0,394.0,275.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-121.0,0.7794798880887951,1.6994999999999998,0.0,0.0,0.0
615818,April,2026,297.88,297.88,47.48,20.0,4,297.88,0.0,0.0,47.48,0.15939304417886396,1582.0,1186.0,730.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,80.0,334.0,0.7969652208943198,2.3739999999999997,0.0,0.0,0.0
615818,May,2026,297.88,297.88,48.75,20.0,5,297.88,0.0,0.0,48.75,0.16365650597556064,1612.0,1186.0,730.0,47.48,297.88,20.0,1.2700000000000031,0.0,0.0,0.0,1.0,1.2700000000000031,0.0,0.0,0.0,80.0,304.0,0.8182825298778031,2.4375,0.0,0.0,0.0
615818,June,2026,297.88,297.88,50.39,20.0,6,297.88,0.0,0.0,50.39,0.16916207868940514,1643.0,1186.0,730.0,48.75,297.88,20.0,1.6400000000000006,0.0,0.0,0.0,1.0,1.6400000000000006,0.0,0.0,0.0,80.0,273.0,0.8458103934470257,2.5195,0.0,0.0,0.0
615843,April,2026,243.52,243.52,50.82,31.27,4,243.52,0.0,0.0,50.82,0.2086892247043364,2343.0,1947.0,730.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,68.73,334.0,0.6673783968798734,1.6251998720818677,0.0,0.0,0.0
615843,May,2026,243.52,243.52,50.82,29.9,5,243.52,0.0,0.0,50.82,0.2086892247043364,2373.0,1947.0,730.0,50.82,243.52,31.27,0.0,0.0,-1.370000000000001,0.0,1.0,0.0,0.0,-1.370000000000001,0.0,70.1,304.0,0.6979572732586502,1.699665551839465,0.0,1.370000000000001,0.0
615843,June,2026,243.52,243.52,50.82,30.06,6,243.52,0.0,0.0,50.82,0.2086892247043364,2404.0,1947.0,730.0,50.82,243.52,29.9,0.0,0.0,0.16000000000000014,0.0,1.0,0.0,0.0,0.16000000000000014,0.0,69.94,273.0,0.6942422644854838,1.69061876247505,-1.370000000000001,-1.5300000000000011,0.0
615860,April,2026,607.04,607.04,200.06,71.0,4,607.04,0.0,0.0,200.06,0.32956642066420666,2527.0,2131.0,365.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,-31.0,0.4641780572735305,2.8177464788732394,0.0,0.0,0.0
615860,May,2026,607.04,607.04,200.12,71.0,5,607.04,0.0,0.0,200.12,0.3296652609383237,2557.0,2131.0,365.0,200.06,607.04,71.0,0.060000000000002274,0.0,0.0,0.0,1.0,0.060000000000002274,0.0,0.0,0.0,29.0,-61.0,0.46431726892721653,2.8185915492957747,0.0,0.0,0.0
615860,June,2026,607.04,607.04,200.83,71.0,6,607.04,0.0,0.0,200.83,0.33083487084870855,2588.0,2131.0,365.0,200.12,607.04,71.0,0.710000000000008,0.0,0.0,0.0,1.0,0.710000000000008,0.0,0.0,0.0,29.0,-92.0,0.465964606829167,2.828591549295775,0.0,0.0,0.0
615861,April,2026,424.81,424.81,406.81,81.0,4,424.81,0.0,0.0,406.81,0.9576281160989619,1217.0,821.0,365.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,-31.0,1.1822569334555084,5.0223456790123455,0.0,0.0,0.0
615861,May,2026,424.81,424.81,406.82,81.0,5,424.81,0.0,0.0,406.82,0.9576516560344625,1247.0,821.0,365.0,406.81,424.81,81.0,0.009999999999990905,0.0,0.0,0.0,1.0,0.009999999999990905,0.0,0.0,0.0,19.0,-61.0,1.1822859951042746,5.022469135802469,0.0,0.0,0.0
615861,June,2026,424.81,424.81,408.29,81.0,6,424.81,0.0,0.0,408.29,0.9611120265530473,1278.0,821.0,365.0,406.82,424.81,81.0,1.4700000000000273,0.0,0.0,0.0,1.0,1.4700000000000273,0.0,0.0,0.0,19.0,-92.0,1.1865580574728978,5.040617283950618,0.0,0.0,0.0
615865,April,2026,442.42,442.42,252.26,63.0,4,442.42,0.0,0.0,252.26,0.5701821798291216,3134.0,2738.0,365.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,-31.0,0.9050510790938437,4.004126984126984,0.0,0.0,0.0
615865,May,2026,442.42,442.42,253.15,63.0,5,442.42,0.0,0.0,253.15,0.5721938429546585,3164.0,2738.0,365.0,252.26,442.42,63.0,0.8900000000000148,0.0,0.0,0.0,1.0,0.8900000000000148,0.0,0.0,0.0,37.0,-61.0,0.9082441951661245,4.018253968253968,0.0,0.0,0.0
615865,June,2026,442.42,442.42,253.39,63.0,6,442.42,0.0,0.0,253.39,0.5727363139098594,3195.0,2738.0,365.0,253.15,442.42,63.0,0.23999999999998067,0.0,0.0,0.0,1.0,0.23999999999998067,0.0,0.0,0.0,37.0,-92.0,0.9091052601743799,4.0220634920634915,0.0,0.0,0.0
615915,April,2026,244.99,244.99,0.0,0.0,4,244.99,0.0,0.0,0.0,0.0,852.0,821.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
615915,May,2026,244.99,244.99,146.07,45.0,5,244.99,0.0,0.0,146.07,0.596228417486428,882.0,821.0,245.0,0.0,244.99,0.0,146.07,0.0,45.0,0.0,1.0,146.07,0.0,45.0,0.0,55.0,184.0,1.3249520388587288,3.246,0.0,-45.0,0.0
615915,June,2026,244.99,244.99,146.07,45.0,6,244.99,0.0,0.0,146.07,0.596228417486428,913.0,821.0,245.0,146.07,244.99,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.0,153.0,1.3249520388587288,3.246,45.0,45.0,0.0
615982,April,2026,319.75,319.75,196.86,79.83,4,319.75,0.0,0.0,196.86,0.6156684910086005,3530.0,2038.0,1461.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.17,-31.0,0.7712244657504704,2.465990229237129,0.0,0.0,0.0
615982,May,2026,319.75,319.75,196.86,79.83,5,319.75,0.0,0.0,196.86,0.6156684910086005,3560.0,2038.0,1461.0,196.86,319.75,79.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.17,-61.0,0.7712244657504704,2.465990229237129,0.0,0.0,1.0
615982,June,2026,319.75,319.75,196.82,79.83,6,319.75,0.0,0.0,196.82,0.6155433932759968,3591.0,2038.0,1826.0,196.86,319.75,79.83,-0.040000000000020464,0.0,0.0,365.0,1.0,-0.040000000000020464,0.0,0.0,365.0,20.17,273.0,0.7710677605862418,2.4654891644745085,0.0,0.0,0.0
616044,April,2026,237.06,237.06,166.87,93.51,4,237.06,0.0,0.0,166.87,0.7039146207711128,2647.0,790.0,1826.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.489999999999995,-31.0,0.7527693516961959,1.784515025131002,0.0,0.0,0.0
616044,May,2026,237.06,237.06,168.0,93.75,5,237.06,0.0,0.0,168.0,0.7086813464945584,2677.0,790.0,1826.0,166.87,237.06,93.51,1.1299999999999955,0.0,0.23999999999999488,0.0,1.0,1.1299999999999955,0.0,0.23999999999999488,0.0,6.25,-61.0,0.7559267695941956,1.792,0.0,-0.23999999999999488,1.0
616044,June,2026,237.06,237.06,168.2,94.57,6,237.06,0.0,0.0,168.2,0.7095250147641947,2708.0,790.0,2191.0,168.0,237.06,93.75,0.19999999999998863,0.0,0.8199999999999932,365.0,1.0,0.19999999999998863,0.0,0.8199999999999932,365.0,5.430000000000007,273.0,0.7502643700583639,1.7785767156603574,0.23999999999999488,-0.5799999999999983,0.0
616050,April,2026,235.9,235.9,127.42,98.97,4,235.9,0.0,0.0,127.42,0.5401441288681644,2769.0,2008.0,730.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0300000000000011,-31.0,0.5457655136588506,1.2874608467212287,0.0,0.0,0.0
616050,May,2026,235.9,235.9,127.42,98.97,5,235.9,0.0,0.0,127.42,0.5401441288681644,2799.0,2008.0,730.0,127.42,235.9,98.97,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0300000000000011,-61.0,0.5457655136588506,1.2874608467212287,0.0,0.0,1.0
616050,June,2026,235.9,235.9,128.23,98.97,6,235.9,0.0,0.0,128.23,0.5435777871979652,2830.0,2008.0,1095.0,127.42,235.9,98.97,0.8099999999999881,0.0,0.0,365.0,1.0,0.8099999999999881,0.0,0.0,365.0,1.0300000000000011,273.0,0.5492349067373601,1.2956451449934323,0.0,0.0,0.0
616223,April,2026,316.0,316.0,209.35,86.49,4,316.0,0.0,0.0,209.35,0.6625,2708.0,1947.0,730.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.510000000000005,-31.0,0.765984506879408,2.4205110417389295,0.0,0.0,0.0
616223,May,2026,316.0,316.0,209.28,86.49,5,316.0,0.0,0.0,209.28,0.6622784810126582,2738.0,1947.0,730.0,209.35,316.0,86.49,-0.06999999999999318,0.0,0.0,0.0,1.0,-0.06999999999999318,0.0,0.0,0.0,13.510000000000005,-61.0,0.7657283859552065,2.4197016996184533,0.0,0.0,1.0
616223,June,2026,316.0,316.0,209.29,86.49,6,316.0,0.0,0.0,209.29,0.6623101265822785,2769.0,1947.0,1095.0,209.28,316.0,86.49,0.009999999999990905,0.0,0.0,365.0,1.0,0.009999999999990905,0.0,0.0,365.0,13.510000000000005,273.0,0.765764974658664,2.4198173199213784,0.0,0.0,0.0
616254,April,2026,2212.0,2212.0,498.11,34.0,4,2212.0,0.0,0.0,498.11,0.2251853526220615,577.0,1095.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66.0,518.0,0.662309860653122,14.650294117647059,0.0,0.0,0.0
616254,May,2026,2212.0,2212.0,539.65,35.4,5,2212.0,0.0,0.0,539.65,0.24396473779385172,607.0,1095.0,0.0,498.11,2212.0,34.0,41.539999999999964,0.0,1.3999999999999986,0.0,1.0,41.539999999999964,0.0,1.3999999999999986,0.0,64.6,488.0,0.6891659259713326,15.244350282485875,0.0,-1.3999999999999986,0.0
616615,April,2026,230.06,230.06,261.82,97.0,4,230.06,0.0,0.0,261.82,1.1380509432322004,2953.0,2588.0,244.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-121.0,1.1732483950847428,2.6991752577319588,0.0,0.0,1.0
